pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Generating data ... n_rollout=90, time_step=75
Training data generated, warpping up stats ...
stats warmed done!
Generating data ... n_rollout=10, time_step=75
Training data generated, warpping up stats ...
phase: valid
Loading stat from data/data_PassWater/stat.h5 ...
stats warmed done!
data generate done!
dataloaders generate done!
particle encoder input size:  18
particle encoder input size:  18
Number of parameters: 1075610
train [0/1000][0/6660] n_relations: 8937, Loss: 0.965584, Agg: 0.965584
train [0/1000][200/6660] n_relations: 13489, Loss: 1.001117, Agg: 0.848430
train [0/1000][400/6660] n_relations: 5359, Loss: 0.858274, Agg: 0.787698
train [0/1000][600/6660] n_relations: 8580, Loss: 0.677404, Agg: 0.747194
train [0/1000][800/6660] n_relations: 10229, Loss: 0.648326, Agg: 0.726777
train [0/1000][1000/6660] n_relations: 11152, Loss: 1.065436, Agg: 0.708815
train [0/1000][1200/6660] n_relations: 4921, Loss: 0.669040, Agg: 0.693923
train [0/1000][1400/6660] n_relations: 4720, Loss: 0.562823, Agg: 0.681964
train [0/1000][1600/6660] n_relations: 18401, Loss: 0.475232, Agg: 0.673006
train [0/1000][1800/6660] n_relations: 10429, Loss: 0.499582, Agg: 0.666752
train [0/1000][2000/6660] n_relations: 8809, Loss: 0.389055, Agg: 0.662024
train [0/1000][2200/6660] n_relations: 13187, Loss: 0.467544, Agg: 0.656145
train [0/1000][2400/6660] n_relations: 5364, Loss: 0.398148, Agg: 0.649673
train [0/1000][2600/6660] n_relations: 9213, Loss: 0.411479, Agg: 0.643592
train [0/1000][2800/6660] n_relations: 10870, Loss: 0.908654, Agg: 0.638170
train [0/1000][3000/6660] n_relations: 9971, Loss: 0.757609, Agg: 0.633962
train [0/1000][3200/6660] n_relations: 21287, Loss: 0.678048, Agg: 0.628893
train [0/1000][3400/6660] n_relations: 11463, Loss: 0.395598, Agg: 0.624537
train [0/1000][3600/6660] n_relations: 9406, Loss: 0.784205, Agg: 0.622019
train [0/1000][3800/6660] n_relations: 4672, Loss: 0.555748, Agg: 0.618547
train [0/1000][4000/6660] n_relations: 11084, Loss: 0.588319, Agg: 0.615430
train [0/1000][4200/6660] n_relations: 18242, Loss: 0.394332, Agg: 0.613131
train [0/1000][4400/6660] n_relations: 12862, Loss: 0.631050, Agg: 0.611238
train [0/1000][4600/6660] n_relations: 7041, Loss: 0.397296, Agg: 0.608751
train [0/1000][4800/6660] n_relations: 6720, Loss: 0.496947, Agg: 0.606082
train [0/1000][5000/6660] n_relations: 4546, Loss: 0.649067, Agg: 0.603579
train [0/1000][5200/6660] n_relations: 8909, Loss: 0.828041, Agg: 0.601263
train [0/1000][5400/6660] n_relations: 15593, Loss: 0.597549, Agg: 0.598997
train [0/1000][5600/6660] n_relations: 13559, Loss: 0.578108, Agg: 0.596594
train [0/1000][5800/6660] n_relations: 13606, Loss: 0.379468, Agg: 0.594476
train [0/1000][6000/6660] n_relations: 16414, Loss: 0.360975, Agg: 0.593109
train [0/1000][6200/6660] n_relations: 9582, Loss: 0.503233, Agg: 0.591420
train [0/1000][6400/6660] n_relations: 19047, Loss: 0.441374, Agg: 0.589472
train [0/1000][6600/6660] n_relations: 9702, Loss: 0.338427, Agg: 0.587409
train [0/1000] Loss: 0.5871, Best valid: inf
valid [0/1000][0/740] n_relations: 11872, Loss: 0.250816, Agg: 0.250816
valid [0/1000][200/740] n_relations: 13927, Loss: 0.416208, Agg: 0.581698
valid [0/1000][400/740] n_relations: 11193, Loss: 0.479740, Agg: 0.545861
valid [0/1000][600/740] n_relations: 7175, Loss: 0.668588, Agg: 0.562747
valid [0/1000] Loss: 0.5658, Best valid: inf
train [1/1000][0/6660] n_relations: 4891, Loss: 0.646486, Agg: 0.646486
train [1/1000][200/6660] n_relations: 8067, Loss: 0.538254, Agg: 0.539700
train [1/1000][400/6660] n_relations: 4061, Loss: 0.673928, Agg: 0.538388
train [1/1000][600/6660] n_relations: 5894, Loss: 0.450799, Agg: 0.540261
train [1/1000][800/6660] n_relations: 3362, Loss: 0.633663, Agg: 0.539452
train [1/1000][1000/6660] n_relations: 11069, Loss: 0.785687, Agg: 0.539003
train [1/1000][1200/6660] n_relations: 3787, Loss: 0.452095, Agg: 0.535406
train [1/1000][1400/6660] n_relations: 21071, Loss: 0.650632, Agg: 0.536842
train [1/1000][1600/6660] n_relations: 13976, Loss: 0.485689, Agg: 0.537981
train [1/1000][1800/6660] n_relations: 18866, Loss: 0.359228, Agg: 0.536888
train [1/1000][2000/6660] n_relations: 15119, Loss: 0.740993, Agg: 0.537233
train [1/1000][2200/6660] n_relations: 6411, Loss: 0.311224, Agg: 0.536041
train [1/1000][2400/6660] n_relations: 8771, Loss: 0.620589, Agg: 0.537727
train [1/1000][2600/6660] n_relations: 5318, Loss: 0.631501, Agg: 0.537034
train [1/1000][2800/6660] n_relations: 19918, Loss: 0.584460, Agg: 0.536372
train [1/1000][3000/6660] n_relations: 9965, Loss: 0.514348, Agg: 0.536045
train [1/1000][3200/6660] n_relations: 6715, Loss: 0.386306, Agg: 0.535359
train [1/1000][3400/6660] n_relations: 11271, Loss: 0.587784, Agg: 0.535703
train [1/1000][3600/6660] n_relations: 10460, Loss: 0.420220, Agg: 0.534856
train [1/1000][3800/6660] n_relations: 15999, Loss: 0.454792, Agg: 0.534252
train [1/1000][4000/6660] n_relations: 14932, Loss: 0.657648, Agg: 0.533780
train [1/1000][4200/6660] n_relations: 5525, Loss: 0.544390, Agg: 0.533713
train [1/1000][4400/6660] n_relations: 4740, Loss: 0.411018, Agg: 0.533668
train [1/1000][4600/6660] n_relations: 5755, Loss: 0.255400, Agg: 0.532819
train [1/1000][4800/6660] n_relations: 9558, Loss: 0.506869, Agg: 0.532371
